2026-04-03 17:37:02 | INFO     | __main__             | Запуск Stratton Bot | ADMINS: [1238993213, 937887231, 564023521]
2026-04-03 17:37:07 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 17:37:07 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 17:37:07 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 17:37:07 | INFO     | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-03 17:37:08 | INFO     | apscheduler.scheduler | Added job "remind_job" to job store "default"
2026-04-03 17:37:08 | INFO     | apscheduler.scheduler | Added job "notify_job" to job store "default"
2026-04-03 17:37:08 | INFO     | apscheduler.scheduler | Added job "expire_job" to job store "default"
2026-04-03 17:37:08 | INFO     | apscheduler.scheduler | Added job "backup_job" to job store "default"
2026-04-03 17:37:08 | INFO     | apscheduler.scheduler | Scheduler started
2026-04-03 17:37:08 | INFO     | __main__             | Бот запущен!
2026-04-03 17:37:08 | INFO     | aiogram.dispatcher   | Start polling
2026-04-03 17:37:08 | INFO     | aiogram.dispatcher   | Run polling for bot @tictactoe010_bot id=8457437468 - 'tictactoe'
2026-04-03 17:37:29 | INFO     | aiogram.event        | Update id=48978274 is handled. Duration 734 ms by bot id=8457437468
2026-04-03 17:37:33 | INFO     | aiogram.event        | Update id=48978275 is handled. Duration 936 ms by bot id=8457437468
2026-04-03 17:37:34 | INFO     | aiogram.event        | Update id=48978276 is handled. Duration 375 ms by bot id=8457437468
2026-04-03 17:37:36 | INFO     | aiogram.event        | Update id=48978277 is handled. Duration 547 ms by bot id=8457437468
2026-04-03 17:37:37 | INFO     | apscheduler.executors.default | Running job "remind_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:07 +06)" (scheduled at 2026-04-03 18:37:37.985084+06:00)
2026-04-03 17:37:38 | INFO     | apscheduler.executors.default | Running job "notify_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:07 +06)" (scheduled at 2026-04-03 18:37:37.986082+06:00)
2026-04-03 17:37:38 | INFO     | apscheduler.executors.default | Job "remind_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:07 +06)" executed successfully
2026-04-03 17:37:38 | INFO     | apscheduler.executors.default | Job "notify_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:07 +06)" executed successfully
2026-04-03 17:37:38 | INFO     | aiogram.event        | Update id=48978278 is handled. Duration 483 ms by bot id=8457437468
2026-04-03 17:37:39 | INFO     | aiogram.event        | Update id=48978279 is handled. Duration 547 ms by bot id=8457437468
2026-04-03 17:37:40 | INFO     | aiogram.event        | Update id=48978280 is handled. Duration 407 ms by bot id=8457437468
2026-04-03 17:37:43 | INFO     | aiogram.event        | Update id=48978281 is handled. Duration 500 ms by bot id=8457437468
2026-04-03 17:37:46 | INFO     | aiogram.event        | Update id=48978282 is handled. Duration 577 ms by bot id=8457437468
2026-04-03 17:37:49 | INFO     | aiogram.event        | Update id=48978283 is handled. Duration 391 ms by bot id=8457437468
2026-04-03 17:37:52 | INFO     | aiogram.event        | Update id=48978284 is handled. Duration 454 ms by bot id=8457437468
2026-04-03 17:37:56 | INFO     | aiogram.event        | Update id=48978285 is handled. Duration 641 ms by bot id=8457437468
2026-04-03 17:37:57 | INFO     | aiogram.event        | Update id=48978286 is handled. Duration 452 ms by bot id=8457437468
2026-04-03 17:38:00 | INFO     | aiogram.event        | Update id=48978287 is handled. Duration 421 ms by bot id=8457437468
2026-04-03 17:38:02 | INFO     | aiogram.event        | Update id=48978288 is handled. Duration 218 ms by bot id=8457437468
2026-04-03 17:38:06 | INFO     | aiogram.event        | Update id=48978289 is handled. Duration 405 ms by bot id=8457437468
2026-04-03 17:38:07 | INFO     | apscheduler.executors.default | Running job "remind_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:37 +06)" (scheduled at 2026-04-03 18:38:07.985084+06:00)
2026-04-03 17:38:08 | INFO     | apscheduler.executors.default | Running job "notify_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:37 +06)" (scheduled at 2026-04-03 18:38:07.986082+06:00)
2026-04-03 17:38:08 | INFO     | apscheduler.executors.default | Job "notify_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:37 +06)" executed successfully
2026-04-03 17:38:08 | INFO     | apscheduler.executors.default | Job "remind_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:38:37 +06)" executed successfully
2026-04-03 17:38:08 | INFO     | aiogram.event        | Update id=48978290 is handled. Duration 391 ms by bot id=8457437468
2026-04-03 17:38:16 | INFO     | aiogram.event        | Update id=48978291 is handled. Duration 233 ms by bot id=8457437468
2026-04-03 17:38:19 | INFO     | aiogram.event        | Update id=48978292 is handled. Duration 1282 ms by bot id=8457437468
2026-04-03 17:38:25 | INFO     | aiogram.event        | Update id=48978293 is handled. Duration 1125 ms by bot id=8457437468
2026-04-03 17:38:27 | INFO     | aiogram.event        | Update id=48978294 is handled. Duration 375 ms by bot id=8457437468
2026-04-03 17:38:29 | INFO     | aiogram.event        | Update id=48978295 is handled. Duration 842 ms by bot id=8457437468
2026-04-03 17:38:31 | INFO     | aiogram.event        | Update id=48978296 is handled. Duration 421 ms by bot id=8457437468
2026-04-03 17:38:34 | INFO     | aiogram.event        | Update id=48978297 is handled. Duration 436 ms by bot id=8457437468
2026-04-03 17:38:36 | INFO     | aiogram.event        | Update id=48978298 is handled. Duration 547 ms by bot id=8457437468
2026-04-03 17:38:37 | INFO     | apscheduler.executors.default | Running job "remind_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:39:07 +06)" (scheduled at 2026-04-03 18:38:37.985084+06:00)
2026-04-03 17:38:38 | INFO     | apscheduler.executors.default | Running job "notify_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:39:07 +06)" (scheduled at 2026-04-03 18:38:37.986082+06:00)
2026-04-03 17:38:38 | INFO     | apscheduler.executors.default | Job "remind_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:39:07 +06)" executed successfully
2026-04-03 17:38:38 | INFO     | apscheduler.executors.default | Job "notify_job (trigger: interval[0:00:30], next run at: 2026-04-03 18:39:07 +06)" executed successfully
2026-04-03 17:38:38 | INFO     | aiogram.event        | Update id=48978299 is handled. Duration 1156 ms by bot id=8457437468
2026-04-03 17:38:42 | INFO     | aiogram.event        | Update id=48978300 is handled. Duration 391 ms by bot id=8457437468
2026-04-03 17:38:45 | INFO     | aiogram.event        | Update id=48978301 is handled. Duration 1061 ms by bot id=8457437468
2026-04-03 17:38:46 | INFO     | aiogram.event        | Update id=48978302 is handled. Duration 547 ms by bot id=8457437468
2026-04-03 17:38:48 | INFO     | aiogram.event        | Update id=48978303 is handled. Duration 342 ms by bot id=8457437468
2026-04-03 17:39:04 | INFO     | aiogram.dispatcher   | Polling stopped
2026-04-03 17:39:04 | INFO     | apscheduler.scheduler | Scheduler has been shut down
2026-04-03 17:39:04 | INFO     | aiogram.dispatcher   | Polling stopped for bot @tictactoe010_bot id=8457437468 - 'tictactoe'
2026-04-03 17:39:04 | INFO     | __main__             | Ctrl+C
